"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2024","10,216.82","10,536.64","10,684.39","10,216.82","816.86M","-3.04%"
"02/27/2024","10,536.64","10,537.94","10,844.71","10,530.78","1.03B","-0.01%"
"02/26/2024","10,537.94","10,403.62","10,672.17","10,383.44","990.80M","1.29%"
"02/25/2024","10,403.62","10,815.44","10,815.44","10,148.41","1.46B","-3.81%"
"02/22/2024","10,815.44","10,721.20","10,883.61","10,721.20","1.17B","0.88%"
"02/21/2024","10,721.20","10,631.20","10,816.27","10,608.96","1.12B","0.85%"
"02/20/2024","10,631.20","10,449.53","10,711.17","10,449.53","1.27B","1.74%"
"02/19/2024","10,449.53","10,305.32","10,491.28","10,305.32","1.12B","1.40%"
"02/18/2024","10,305.32","10,161.05","10,343.42","10,161.05","1.19B","1.42%"
"02/15/2024","10,161.05","10,018.43","10,162.37","10,018.43","1.60B","1.42%"
"02/14/2024","10,018.43","9,825.72","10,018.43","9,825.72","1.28B","1.96%"
"02/13/2024","9,825.72","9,637.98","9,873.40","9,637.98","855.87M","1.95%"
"02/12/2024","9,637.98","9,632.62","9,663.27","9,441.08","705.50M","0.06%"
"02/11/2024","9,632.62","9,679.78","9,786.89","9,607.94","852.36M","-0.49%"
"02/08/2024","9,679.78","9,510.84","9,686.74","9,510.84","844.88M","1.78%"
"02/07/2024","9,510.84","9,486.28","9,663.76","9,486.28","837.70M","0.26%"
"02/06/2024","9,486.28","9,581.76","9,735.35","9,457.06","1.16B","-1.00%"
"02/05/2024","9,581.76","9,384.41","9,618.71","9,384.41","925.40M","2.10%"
"02/04/2024","9,384.41","9,362.72","9,394.11","9,143.28","791.40M","0.23%"
"02/01/2024","9,362.72","8,985.61","9,362.72","8,521.79","827.97M","4.20%"
"01/31/2024","8,985.61","9,860.38","9,932.20","8,935.00","1.28B","-8.87%"
"01/30/2024","9,860.38","9,636.93","9,860.38","9,636.93","1.23B","2.32%"
"01/29/2024","9,636.93","9,544.58","9,716.49","9,538.54","1.15B","0.97%"
"01/28/2024","9,544.58","9,319.83","9,608.82","9,319.83","882.64M","2.41%"
"01/24/2024","9,319.83","9,217.21","9,335.90","9,217.21","962.72M","1.11%"
"01/23/2024","9,217.21","9,255.90","9,343.81","9,212.68","1.05B","-0.42%"
"01/22/2024","9,255.90","9,242.62","9,341.00","9,242.62","1.18B","0.14%"
"01/21/2024","9,242.62","9,000.96","9,243.64","9,000.96","964.80M","2.68%"
"01/18/2024","9,000.96","8,901.95","9,024.19","8,901.95","896.80M","1.11%"
"01/17/2024","8,901.95","8,955.60","9,035.90","8,895.06","1.01B","-0.60%"
"01/16/2024","8,955.60","8,809.71","8,966.16","8,809.71","1.44B","1.66%"
"01/15/2024","8,809.71","8,714.99","8,854.59","8,714.99","1.38B","1.09%"
"01/14/2024","8,714.99","8,479.36","8,719.28","8,479.36","1.14B","2.78%"
"01/11/2024","8,479.36","8,404.72","8,492.45","8,404.72","958.66M","0.89%"
"01/10/2024","8,404.72","8,319.28","8,421.61","8,319.28","850.99M","1.03%"
"01/09/2024","8,319.28","8,250.47","8,328.96","8,250.47","990.18M","0.83%"
"01/08/2024","8,250.47","8,151.90","8,255.75","8,151.90","786.11M","1.21%"
"01/04/2024","8,151.90","8,143.41","8,194.20","8,143.41","683.76M","0.10%"
"01/03/2024","8,143.41","8,111.12","8,183.95","8,111.12","976.34M","0.40%"
"01/02/2024","8,111.12","7,880.35","8,111.12","7,880.35","856.98M","2.93%"
"12/31/2023","7,880.35","7,854.00","7,921.58","7,854.00","525.55M","0.34%"
"12/28/2023","7,854.00","7,827.94","7,944.66","7,827.94","619.06M","0.33%"
"12/27/2023","7,827.94","7,665.01","7,827.94","7,665.01","780.23M","2.13%"
"12/26/2023","7,665.01","7,691.07","7,780.12","7,661.10","1.09B","-0.34%"
"12/25/2023","7,691.07","7,639.43","7,710.14","7,579.51","1.02B","0.68%"
"12/24/2023","7,639.43","7,764.52","7,839.21","7,639.43","787.97M","-1.61%"
"12/21/2023","7,764.52","7,835.66","7,938.75","7,751.38","872.75M","-0.91%"
"12/20/2023","7,835.66","7,872.48","7,938.10","7,826.22","704.65M","-0.47%"
